channel,onset_index,step,sub_index,expected_tick,actual_tick,grid_error_ticks,expected_us,actual_us,timing_error_us
3,1216,4,5,7738,7739,1,16778487.375,16781555.125,3067.750
3,1217,9,0,7788,7788,0,16882635.625,16884282.312,1646.688
3,1218,9,1,7790,7791,1,16886801.500,16889721.688,2920.188
3,1220,9,3,7794,7794,0,16895133.500,16895167.812,34.312
3,1221,9,4,7796,7795,-1,16899299.500,16899186.938,-112.562
3,1222,9,5,7798,7798,0,16903467.312,16904506.125,1038.812
3,1223,15,0,7860,7860,0,17032611.562,17034173.875,1562.312
3,1224,15,1,7862,7863,1,17036782.625,17039794.688,3012.062
3,1225,15,2,7864,7865,1,17040943.500,17044633.500,3690.000
3,1227,15,4,7868,7868,0,17049275.500,17050834.938,1559.438
3,1228,15,5,7870,7871,1,17053441.500,17056182.062,2740.562
3,1229,0,0,7872,7873,1,17057607.562,17061146.688,3539.125
3,1231,0,2,7876,7876,0,17065940.062,17067291.000,1350.938
3,1232,0,3,7878,7878,0,17070108.438,17071722.375,1613.938
3,1233,0,4,7880,7880,0,17074271.500,17076326.875,2055.375
3,1234,0,5,7882,7883,1,17078441.062,17081663.500,3222.438
3,1235,3,0,7908,7908,0,17132595.500,17134159.562,1564.062
3,1236,3,1,7910,7910,0,17136761.500,17138762.938,2001.438
3,1237,3,2,7912,7913,1,17140927.500,17143979.875,3052.375
3,1238,3,3,7914,7915,1,17145093.750,17149003.000,3909.250
3,1239,3,4,7916,7917,1,17149259.500,17153251.938,3992.438
3,1241,4,0,7920,7920,0,17157591.562,17159487.438,1895.875
3,1242,4,1,7922,7923,1,17161759.062,17164703.625,2944.562
3,1243,4,2,7924,7925,1,17165923.625,17169550.188,3626.562
3,1245,4,4,7928,7928,0,17174259.312,17175742.625,1483.312
3,1246,4,5,7930,7931,1,17178424.750,17181043.750,2619.000
3,1247,9,0,7980,7980,0,17282571.500,17284206.000,1634.500
3,1248,9,1,7982,7983,1,17286737.500,17289805.562,3068.062
3,1249,9,2,7984,7985,1,17290903.500,17294656.250,3752.750
3,1251,9,4,7988,7988,0,17299235.562,17300794.312,1558.750
3,1252,9,5,7990,7991,1,17303406.062,17305904.000,2497.938
3,1253,15,0,8052,8052,0,17432547.500,17434165.562,1618.062
3,1254,15,1,8054,8055,1,17436713.500,17439634.562,2921.062
3,1256,15,3,8058,8058,0,17445045.875,17445101.938,56.062
3,1257,15,4,8060,8060,0,17449211.500,17450667.188,1455.688
3,1258,15,5,8062,8062,0,17453377.500,17454491.750,1114.250
3,1259,0,0,8064,8064,0,17457543.500,17459381.625,1838.125
3,1260,0,1,8066,8067,1,17461713.688,17464780.500,3066.812
3,1261,0,2,8068,8069,1,17465875.562,17469608.812,3733.250
3,1263,0,4,8072,8072,0,17474207.500,17475764.750,1557.250
3,1264,0,5,8074,8075,1,17478373.500,17481059.875,2686.375
3,1265,3,0,8100,8100,0,17532531.688,17534111.375,1579.688
3,1266,3,1,8102,8102,0,17536702.062,17538344.062,1642.000
3,1267,3,2,8104,8105,1,17540863.562,17543950.625,3087.062
3,1268,3,3,8106,8107,1,17545038.750,17548646.312,3607.562
3,1270,3,5,8110,8110,0,17553361.812,17554331.062,969.250
3,1271,4,0,8112,8113,1,17557527.500,17560451.938,2924.438
3,1273,4,2,8116,8116,0,17565859.500,17565890.812,31.312
3,1274,4,3,8118,8118,0,17570026.125,17571457.688,1431.562
3,1275,4,4,8120,8120,0,17574191.500,17576092.688,1901.188
3,1276,4,5,8122,8122,0,17578360.938,17580281.500,1920.562
3,1277,9,0,8172,8172,0,17682507.562,17684043.750,1536.188
3,1278,9,1,8174,8175,1,17686673.500,17689491.500,2818.000
3,1279,9,2,8176,8177,1,17690839.500,17694910.125,4070.625
3,1281,9,4,8180,8180,0,17699171.500,17700673.562,1502.062
3,1282,9,5,8182,8182,0,17703341.375,17705011.750,1670.375
3,1283,15,0,8244,8244,0,17832483.562,17834119.062,1635.500
3,1284,15,1,8246,8246,0,17836649.500,17838390.875,1741.375
3,1285,15,2,8248,8249,1,17840815.750,17843982.562,3166.812
3,1286,15,3,8250,8251,1,17844981.562,17848421.125,3439.562
3,1288,15,5,8254,8254,0,17853316.438,17854391.500,1075.062
3,1289,0,0,8256,8257,1,17857479.500,17860284.312,2804.812
3,1290,0,1,8258,8259,1,17861645.500,17864885.938,3240.438
3,1292,0,3,8262,8262,0,17869981.938,17871305.125,1323.188
3,1293,0,4,8264,8264,0,17874143.500,17876121.062,1977.562
3,1294,0,5,8266,8266,0,17878313.938,17880312.500,1998.562
3,1295,3,0,8292,8292,0,17932467.500,17934054.000,1586.500
3,1296,3,1,8294,8294,0,17936633.500,17938706.375,2072.875
3,1297,3,2,8296,8297,1,17940799.500,17943911.062,3111.562
3,1298,3,3,8298,8299,1,17944965.500,17948946.438,3980.938
3,1300,3,5,8302,8302,0,17953299.438,17954472.562,1173.125
3,1301,4,0,8304,8304,0,17957463.500,17959406.062,1942.562
3,1302,4,1,8306,8307,1,17961639.188,17964647.062,3007.875
3,1303,4,2,8308,8309,1,17965795.500,17969292.688,3497.188
3,1305,4,4,8312,8312,0,17974127.562,17975661.562,1534.000
3,1306,4,5,8314,8315,1,17978293.562,17980775.750,2482.188
3,1307,9,0,8364,8364,0,18082443.625,18084080.938,1637.312
3,1308,9,1,8366,8367,1,18086612.188,18089680.500,3068.312
3,1309,9,2,8368,8369,1,18090775.562,18093678.250,2902.688
3,1310,9,3,8370,8371,1,18094941.500,18098307.000,3365.500
3,1312,9,5,8374,8374,0,18103275.250,18104234.875,959.625
3,1313,15,0,8436,8436,0,18232419.500,18234106.500,1687.000
3,1314,15,1,8438,8439,1,18236597.625,18239407.500,2809.875
3,1315,15,2,8440,8441,1,18240751.500,18244847.375,4095.875
3,1317,15,4,8444,8444,0,18249083.500,18250646.938,1563.438
3,1318,15,5,8446,8447,1,18253249.500,18255915.812,2666.312
3,1319,0,0,8448,8449,1,18257415.500,18261159.625,3744.125
3,1320,0,1,8450,8451,1,18261590.250,18265203.625,3613.375
3,1322,0,3,8454,8454,0,18269913.562,18271370.188,1456.625
3,1323,0,4,8456,8457,1,18274079.500,18277160.938,3081.438
3,1324,0,5,8458,8459,1,18278250.875,18281683.938,3433.062
3,1325,3,0,8484,8484,0,18332403.562,18334018.750,1615.188
3,1326,3,1,8486,8487,1,18336570.062,18339621.312,3051.250
3,1327,3,2,8488,8489,1,18340735.500,18344076.750,3341.250
3,1328,3,3,8490,8491,1,18344901.500,18348315.062,3413.562
3,1330,3,5,8494,8494,0,18353233.500,18354049.750,816.250
3,1331,4,0,8496,8497,1,18357400.062,18360156.125,2756.062
3,1332,4,1,8498,8499,1,18361565.562,18364545.625,2980.062
3,1333,4,2,8500,8501,1,18365731.562,18369781.812,4050.250
3,1335,4,4,8504,8504,0,18374063.562,18375572.375,1508.812
3,1336,4,5,8506,8507,1,18378229.500,18381145.375,2915.875
3,1337,9,0,8556,8556,0,18482379.500,18483917.562,1538.062
3,1338,9,1,8558,8558,0,18486556.688,18488579.188,2022.500
3,1339,9,2,8560,8561,1,18490711.500,18493793.125,3081.625
3,1340,9,3,8562,8563,1,18494881.250,18498825.500,3944.250
3,1342,9,5,8566,8566,0,18503209.500,18504333.375,1123.875
3,1343,15,0,8628,8628,0,18632355.500,18634048.125,1692.625
3,1344,15,1,8630,8631,1,18636521.500,18639668.938,3147.438
3,1345,15,2,8632,8633,1,18640687.562,18644112.250,3424.688
3,1346,15,3,8634,8635,1,18644863.312,18648131.125,3267.812
3,1348,15,5,8638,8638,0,18653186.250,18654127.750,941.500
3,1349,0,0,8640,8640,0,18657351.562,18659398.000,2046.438
3,1350,0,1,8642,8643,1,18661517.562,18664595.938,3078.375
3,1352,0,3,8646,8646,0,18669852.938,18669882.688,29.750
3,1353,0,4,8648,8648,0,18674015.500,18675580.188,1564.688
3,1354,0,5,8650,8651,1,18678181.500,18681125.250,2943.750
3,1355,3,0,8676,8676,0,18732339.500,18734031.938,1692.438
3,1356,3,1,8678,8679,1,18736505.688,18739634.500,3128.812
3,1357,3,2,8680,8681,1,18740671.500,18744479.562,3808.062
3,1359,3,4,8684,8684,0,18749003.500,18750644.500,1641.000
3,1360,3,5,8686,8687,1,18753169.562,18755755.438,2585.875
3,1361,4,0,8688,8689,1,18757335.500,18760952.375,3616.875
3,1363,4,2,8692,8692,0,18765670.625,18767120.938,1450.312
3,1364,4,3,8694,8695,1,18769834.750,18772729.000,2894.250
3,1365,4,4,8696,8697,1,18773999.500,18776778.500,2779.000
3,1366,4,5,8698,8699,1,18778165.562,18781318.000,3152.438
3,1367,9,0,8748,8748,0,18882315.500,18883958.188,1642.688
3,1368,9,1,8750,8751,1,18886489.750,18889629.625,3139.875
3,1370,9,3,8754,8754,0,18894813.500,18896190.562,1377.062
3,1371,9,4,8756,8757,1,18898979.500,18901781.875,2802.375
3,1372,9,5,8758,8758,0,18903145.562,18905200.938,2055.375
3,1373,15,0,8820,8820,0,19032291.562,19033871.812,1580.250
3,1374,15,1,8822,8823,1,19036457.500,19038595.375,2137.875
3,1375,15,2,8824,8825,1,19040623.500,19043740.875,3117.375
3,1376,15,3,8826,8827,1,19044795.250,19048593.562,3798.312
3,1378,15,5,8830,8830,0,19053121.562,19054143.938,1022.375
3,1379,0,0,8832,8832,0,19057287.500,19059264.000,1976.500
3,1380,0,1,8834,8835,1,19061453.562,19064474.188,3020.625
3,1381,0,2,8836,8837,1,19065619.562,19069113.812,3494.250
3,1382,0,3,8838,8839,1,19069786.688,19073097.688,3311.000
3,1384,0,5,8842,8842,0,19078117.562,19079061.062,943.500
3,1385,3,0,8868,8868,0,19132275.500,19133941.812,1666.312
3,1386,3,1,8870,8871,1,19136441.500,19139357.438,2915.938
3,1387,3,2,8872,8873,1,19140607.500,19143749.875,3142.375
3,1389,3,4,8876,8876,0,19148939.688,19150166.500,1226.812
3,1390,3,5,8878,8878,0,19153106.625,19155157.750,2051.125
