channel,kind,tick,us
0,E,3838,8654785.500
0,E,3840,8658951.500
0,E,3842,8663117.562
0,E,3844,8667283.625
0,E,3846,8671452.938
0,E,3848,8675615.562
0,E,3850,8679781.750
0,E,3876,8733939.562
0,E,3878,8738117.312
0,E,3880,8742271.500
0,E,3882,8746439.812
0,E,3884,8750604.000
0,E,3886,8754769.938
0,E,3888,8758936.688
0,E,3890,8763101.625
0,E,3892,8767267.500
0,E,3894,8771435.125
0,E,3896,8775599.500
0,E,3898,8779765.500
0,E,3948,8883915.500
0,E,3950,8888081.562
0,E,3952,8892247.500
0,E,3954,8896413.688
0,E,3956,8900579.500
0,E,3958,8904745.500
0,E,4020,9033891.500
0,E,4022,9038057.562
0,E,4024,9042223.500
0,E,4026,9046391.562
0,E,4028,9050555.625
0,E,4030,9054725.062
0,E,4032,9058887.625
0,E,4034,9063053.562
0,E,4036,9067219.500
0,E,4038,9071386.125
0,E,4040,9075551.750
0,E,4042,9079718.688
0,E,4068,9133875.500
0,E,4070,9138050.812
0,E,4072,9142207.500
0,E,4074,9146373.500
0,E,4076,9150545.250
0,E,4078,9154705.500
0,E,4080,9158871.562
0,E,4082,9163038.188
0,E,4084,9167203.562
0,E,4086,9171369.500
0,E,4088,9175535.562
0,E,4090,9179706.188
0,E,4140,9283851.562
0,E,4142,9288017.500
0,E,4144,9292183.500
0,E,4146,9296352.688
0,E,4148,9300515.500
0,E,4150,9304686.375
0,E,4212,9433827.500
0,E,4214,9437994.625
0,E,4216,9442159.500
0,E,4218,9446325.562
0,E,4220,9450491.562
0,E,4222,9454657.688
0,E,4224,9458823.812
0,E,4226,9462994.438
0,E,4228,9467155.562
0,E,4230,9471321.500
0,E,4232,9475487.500
0,E,4234,9479653.500
0,E,4260,9533811.500
0,E,4262,9537977.500
0,E,4264,9542143.500
0,E,4266,9546309.500
0,E,4268,9550475.500
0,E,4270,9554643.500
0,E,4272,9558807.500
0,E,4274,9562973.500
0,E,4276,9567139.562
0,E,4278,9571305.562
0,E,4280,9575471.562
0,E,4282,9579637.500
0,E,4332,9683787.500
0,E,4334,9687953.500
0,E,4336,9692122.438
0,E,4338,9696285.625
0,E,4340,9700458.688
0,E,4342,9704621.062
0,E,4404,9833763.500
0,E,4406,9837929.562
0,E,4408,9842095.500
0,E,4410,9846261.688
0,E,4412,9850427.562
0,E,4414,9854603.562
0,E,4416,9858759.500
0,E,4418,9862925.625
0,E,4420,9867091.500
0,E,4422,9871258.188
0,E,4424,9875423.562
0,E,4426,9879592.062
0,E,4452,9933747.562
0,E,4454,9937913.500
0,E,4456,9942079.500
0,E,4458,9946245.500
0,E,4460,9950411.562
0,E,4462,9954579.062
0,E,4464,9958743.875
0,E,4466,9962909.750
0,E,4468,9967075.500
0,E,4470,9971249.250
0,E,4472,9975407.562
0,E,4474,9979573.500
0,E,4524,10083723.500
0,E,4526,10087890.562
0,E,4528,10092055.500
0,E,4530,10096221.562
0,E,4532,10100387.562
0,E,4534,10104564.375
0,E,4596,10233702.688
0,E,4598,10237865.500
0,E,4600,10242031.500
0,E,4602,10246197.625
0,E,4604,10250363.625
0,E,4606,10254531.000
0,E,4608,10258695.500
0,E,4610,10262864.188
0,E,4612,10267027.500
0,E,4614,10271193.500
0,E,4616,10275359.562
0,E,4618,10279525.875
0,E,4644,10333683.562
0,E,4646,10337851.250
0,E,4648,10342015.500
0,E,4650,10346184.062
0,E,4652,10350347.562
0,E,4654,10354518.875
0,E,4656,10358679.500
0,E,4658,10362845.500
0,E,4660,10367011.500
0,E,4662,10371177.562
0,E,4664,10375343.562
0,E,4666,10379521.812
0,E,4716,10483659.500
0,E,4718,10487825.562
0,E,4720,10491991.500
0,E,4722,10496157.500
0,E,4724,10500328.188
0,E,4726,10504491.438
0,E,4788,10633635.562
0,E,4790,10637802.125
0,E,4792,10641967.500
0,E,4794,10646133.500
0,E,4796,10650299.562
0,E,4798,10654466.188
0,E,4800,10658631.500
0,E,4802,10662797.562
0,E,4804,10666963.500
0,E,4806,10671129.500
0,E,4808,10675295.562
0,E,4810,10679461.625
0,E,4836,10733619.500
0,E,4838,10737785.562
0,E,4840,10741951.562
0,E,4842,10746129.688
0,E,4844,10750283.500
0,E,4846,10754450.812
0,E,4848,10758615.500
0,E,4850,10762791.438
0,E,4852,10766947.562
0,E,4854,10771113.812
0,E,4856,10775279.500
0,E,4858,10779445.500
0,E,4908,10883595.500
0,E,4910,10887764.250
0,E,4912,10891927.500
0,E,4914,10896094.500
0,E,4916,10900259.812
0,E,4918,10904425.938
0,E,4980,11033571.688
0,E,4982,11037737.500
0,E,4984,11041903.500
0,E,4986,11046069.500
0,E,4988,11050235.500
0,E,4990,11054401.500
0,E,4992,11058567.562
0,E,4994,11062739.188
0,E,4996,11066899.562
0,E,4998,11071065.625
0,E,5000,11075231.500
0,E,5002,11079397.562
0,E,5028,11133555.500
0,E,5030,11137721.500
0,E,5032,11141887.688
0,E,5034,11146056.375
0,E,5036,11150219.938
0,E,5038,11154387.000
0,E,5040,11158551.500
0,E,5042,11162717.500
0,E,5044,11166883.500
0,E,5046,11171049.500
0,E,5048,11175215.625
0,E,5050,11179384.375
0,E,5100,11283531.500
0,E,5102,11287699.562
0,E,5104,11291863.562
0,E,5106,11296030.062
0,E,5108,11300195.500
0,E,5110,11304364.312
0,E,5172,11433507.500
0,E,5174,11437674.062
0,E,5176,11441839.562
0,E,5178,11446015.562
0,E,5180,11450171.562
0,E,5182,11454348.875
0,E,5184,11458503.500
0,E,5186,11462670.375
0,E,5188,11466835.562
0,E,5190,11471001.750
0,E,5192,11475167.688
0,E,5194,11479340.062
0,E,5220,11533491.500
0,E,5222,11537657.500
0,E,5224,11541823.562
0,E,5226,11545989.625
0,E,5228,11550155.500
0,E,5230,11554323.562
0,E,5232,11558487.500
0,E,5234,11562658.812
0,E,5236,11566819.500
0,E,5238,11570985.562
0,E,5240,11575151.500
0,E,5242,11579318.750
0,E,5292,11683467.500
0,E,5294,11687638.750
0,E,5296,11691799.500
0,E,5298,11695965.562
0,E,5300,11700131.625
0,E,5302,11704297.562
0,E,5364,11833443.500
0,E,5366,11837609.500
0,E,5368,11841775.562
0,E,5370,11845942.125
0,E,5372,11850107.500
0,E,5374,11854273.500
0,E,5376,11858439.812
0,E,5378,11862616.188
0,E,5380,11866771.562
0,E,5382,11870937.812
0,E,5384,11875103.500
0,E,5386,11879275.312
0,E,5412,11933427.562
0,E,5414,11937603.562
0,E,5416,11941760.688
0,E,5418,11945925.812
0,E,5420,11950091.562
0,E,5422,11954257.625
0,E,5424,11958423.562
0,E,5426,11962589.500
0,E,5428,11966755.562
0,E,5430,11970922.312
0,E,5432,11975087.625
0,E,5434,11979253.500
0,E,5484,12083403.625
